idOpstina,NazivOpstineLat,Godina,OznakaOP,Opis,IznosUkupno
70700,Lajkovac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),897289
70700,Lajkovac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),818375
71277,Lapovo,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),170294
71277,Lapovo,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),211829
71277,Lapovo,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),225732
70718,Lebane,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),283525
70718,Lebane,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),470299
70718,Lebane,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),487975
70726,Leskovac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),3001008
70726,Leskovac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2383298
70726,Leskovac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2957677
70769,Ljig,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),234467
70769,Ljig,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),317652
70769,Ljig,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),320207
70777,Ljubovija,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),597298
70777,Ljubovija,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),313143
70777,Ljubovija,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),502117
70734,Loznica,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1406078
70734,Loznica,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1788805
70734,Loznica,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1942883
70742,Lucani,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),574192
70742,Lucani,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),453035
70742,Lucani,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),554997
70785,Majdanpek,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),603545
