,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
105,2012-12-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
106,2013-01-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
107,2013-02-28,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
108,2013-03-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
109,2013-04-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
110,2013-05-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
111,2013-06-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
112,2013-07-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
113,2013-08-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
114,2013-09-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
115,2013-10-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
116,2013-11-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
117,2013-12-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
118,2014-01-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
119,2014-02-28,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
120,2014-03-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
121,2014-04-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
122,2014-05-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
123,2014-06-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
124,2014-07-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
125,2014-08-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
126,2014-09-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
127,2014-10-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
128,2014-11-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
129,2014-12-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
130,2015-01-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
131,2015-02-28,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
132,2015-03-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
133,2015-04-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
134,2015-05-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
135,2015-06-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
136,2015-07-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
137,2015-08-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
138,2015-09-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
139,2015-10-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
140,2015-11-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
141,2015-12-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
142,2016-01-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
143,2016-02-29,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
